"bush","black","female","state"
1,"no","yes",23
1,"no","no",47
1,"no","yes",22
0,"no","no",39
1,"no","yes",34
0,"no","no",44
1,"no","yes",39
0,"yes","no",43
0,"no","no",33
0,"no","yes",10
1,"no","no",10
1,"no","yes",11
1,"no","yes",36
0,"yes","yes",6
1,"no","yes",5
1,"no","yes",43
0,"no","no",10
1,"no","no",10
1,"no","no",16
0,"no","yes",33
1,"yes","yes",25
0,"yes","no",7
1,"no","yes",24
1,"no","no",33
1,"no","yes",10
1,"no","yes",22
1,"no","yes",5
0,"no","yes",48
1,"no","no",5
0,"no","no",33
1,"no","yes",15
0,"yes","yes",19
0,"no","no",5
0,"no","yes",11
0,"no","no",50
0,"no","no",5
1,"no","no",39
0,"no","yes",33
1,"no","no",28
1,"no","no",23
0,"no","yes",28
1,"no","yes",30
0,"no","yes",10
1,"no","yes",5
1,"no","yes",39
0,"no","no",7
0,"no","yes",36
1,"no","yes",15
1,"no","yes",6
0,"no","no",33
1,"no","yes",39
1,"no","yes",31
1,"no","no",17
0,"no","yes",3
0,"no","yes",40
1,"no","yes",43
1,"no","yes",6
1,"no","yes",43
0,"no","yes",39
1,"no","no",11
0,"no","yes",31
1,"no","no",47
1,"no","no",5
1,"no","yes",44
1,"no","no",41
1,"no","no",5
1,"no","yes",19
0,"no","yes",22
1,"no","yes",5
0,"no","yes",27
1,"no","yes",5
0,"no","yes",24
1,"no","no",23
0,"no","no",31
1,"no","no",47
1,"no","no",44
1,"no","no",43
0,"no","yes",26
0,"no","no",36
1,"no","no",5
0,"no","yes",31
1,"no","no",5
1,"no","no",43
0,"no","no",15
0,"no","no",44
1,"no","yes",14
0,"no","yes",44
1,"no","no",50
0,"yes","yes",43
0,"no","yes",22
0,"no","no",25
0,"no","yes",37
0,"no","yes",10
1,"no","yes",35
0,"no","yes",31
0,"no","yes",5
0,"no","yes",8
1,"no","yes",21
1,"no","no",21
1,"no","no",48
1,"no","yes",25
0,"yes","yes",21
1,"no","yes",24
0,"no","no",39
1,"yes","no",41
0,"no","yes",21
0,"no","no",5
0,"no","yes",36
0,"yes","no",5
1,"no","no",42
1,"no","no",17
1,"no","yes",22
1,"no","yes",10
0,"no","no",5
1,"no","yes",44
1,"no","yes",33
0,"no","yes",48
1,"no","yes",21
0,"no","no",5
0,"no","yes",23
0,"no","yes",48
0,"no","yes",23
1,"no","yes",5
0,"no","yes",33
1,"no","no",36
1,"no","no",5
0,"no","no",39
0,"no","yes",33
0,"no","yes",24
1,"no","yes",39
1,"no","yes",16
0,"yes","no",19
1,"no","yes",25
0,"no","no",26
0,"no","yes",39
1,"no","no",22
0,"no","no",26
1,"no","yes",5
0,"no","yes",14
0,"yes","yes",5
1,"no","no",24
0,"no","no",1
0,"no","no",33
1,"no","no",16
1,"no","yes",39
1,"no","yes",13
0,"no","yes",18
1,"no","yes",15
0,"no","yes",40
0,"yes","no",11
0,"no","no",44
1,"no","yes",39
0,"no","yes",14
1,"no","yes",10
1,"no","no",10
0,"no","yes",24
0,"no","no",36
0,"no","yes",23
1,"no","yes",25
1,"no","yes",11
1,"no","yes",6
0,"no","no",22
1,"no","yes",15
1,"no","no",10
0,"no","no",22
0,"no","yes",22
1,"no","no",33
1,"no","yes",38
1,"no","no",33
1,"no","yes",50
1,"no","no",50
1,"no","no",46
0,"no","no",22
1,"no","no",28
1,"no","yes",50
0,"yes","no",44
1,"no","no",41
1,"no","yes",33
1,"no","no",44
1,"no","yes",5
1,"no","no",39
1,"no","yes",43
0,"no","no",28
1,"no","no",36
1,"no","yes",32
0,"no","yes",5
0,"no","yes",1
0,"yes","yes",43
1,"yes","yes",33
0,"no","no",33
1,"no","yes",10
0,"no","no",31
0,"no","yes",49
1,"no","no",39
1,"no","yes",31
1,"no","yes",34
0,"yes","yes",33
0,"no","yes",14
0,"no","yes",50
1,"yes","yes",33
0,"no","yes",31
1,"no","no",22
1,"no","no",36
0,"no","yes",1
1,"no","yes",22
0,"no","yes",5
1,"no","yes",3
0,"no","no",33
0,"no","no",21
0,"no","yes",36
0,"no","yes",25
0,"no","no",50
1,"no","yes",5
0,"no","yes",39
0,"no","no",15
0,"yes","yes",22
0,"no","yes",50
1,"no","yes",39
1,"no","yes",43
1,"no","yes",5
0,"no","no",33
1,"no","no",31
1,"no","no",33
1,"no","no",17
0,"no","yes",5
1,"no","yes",19
0,"no","no",31
0,"no","no",47
0,"no","no",45
1,"no","no",10
1,"no","yes",47
1,"no","yes",33
0,"no","yes",43
1,"no","yes",44
0,"yes","yes",5
0,"no","yes",31
0,"no","yes",24
0,"no","no",11
0,"no","yes",6
0,"no","yes",38
1,"no","no",6
0,"no","yes",50
0,"no","no",7
0,"no","no",29
0,"no","no",5
1,"no","yes",41
1,"no","yes",34
0,"no","yes",39
1,"no","yes",50
0,"no","yes",24
1,"no","no",39
1,"no","no",19
1,"yes","yes",33
1,"no","yes",10
0,"no","yes",14
1,"no","yes",15
0,"no","yes",14
1,"no","yes",22
1,"no","yes",39
1,"no","yes",31
0,"no","no",10
1,"no","no",23
0,"no","yes",11
1,"yes","yes",44
1,"no","no",23
0,"no","no",33
1,"no","yes",5
1,"no","yes",44
0,"no","yes",36
1,"no","no",44
1,"no","yes",33
0,"yes","no",33
0,"yes","no",21
1,"no","yes",22
1,"no","yes",47
1,"no","yes",10
1,"no","no",16
0,"no","yes",43
1,"no","no",48
1,"no","no",41
1,"no","yes",5
0,"no","yes",4
1,"no","yes",23
1,"no","no",36
1,"no","no",18
0,"no","no",5
1,"no","no",47
0,"no","yes",41
0,"yes","yes",23
0,"no","no",7
0,"no","no",41
1,"no","no",43
0,"no","yes",23
1,"no","yes",27
1,"no","no",20
0,"no","no",13
0,"no","yes",44
1,"no","no",26
1,"no","yes",33
1,"no","yes",23
1,"no","no",23
1,"no","no",10
0,"no","yes",11
1,"no","no",36
1,"no","no",19
1,"no","yes",17
1,"no","no",10
0,"no","yes",34
1,"no","no",44
0,"no","yes",22
1,"no","yes",31
1,"no","yes",10
0,"yes","no",14
1,"no","no",33
0,"yes","no",41
0,"no","yes",10
0,"no","no",48
1,"no","yes",48
1,"no","yes",49
1,"no","yes",44
1,"no","yes",30
0,"no","yes",23
1,"no","no",31
0,"no","no",50
1,"no","yes",3
1,"no","yes",33
1,"no","no",5
0,"no","yes",39
1,"no","yes",23
1,"no","yes",24
1,"no","no",14
1,"no","yes",11
0,"no","yes",11
1,"no","no",14
0,"no","yes",39
0,"no","yes",36
0,"no","yes",44
1,"no","no",44
0,"no","no",36
0,"yes","no",34
0,"yes","yes",36
1,"no","no",41
0,"no","no",11
0,"yes","no",1
0,"no","no",38
1,"no","yes",25
1,"no","yes",44
1,"no","yes",19
0,"no","yes",18
1,"no","yes",44
1,"no","no",21
1,"no","no",5
0,"yes","no",21
1,"no","no",33
0,"no","yes",37
0,"no","no",16
0,"no","yes",15
0,"no","yes",14
0,"no","no",26
0,"yes","yes",34
1,"no","yes",28
1,"no","no",5
0,"no","yes",44
0,"no","yes",5
1,"no","yes",24
1,"no","yes",44
0,"no","no",44
1,"no","no",19
1,"no","yes",31
1,"no","yes",28
0,"no","no",44
1,"no","no",38
0,"no","yes",44
0,"no","yes",15
0,"no","no",14
1,"no","yes",34
0,"no","yes",1
1,"no","yes",10
1,"no","no",5
0,"no","yes",44
1,"no","no",36
0,"no","yes",17
1,"no","yes",37
0,"no","no",34
0,"no","yes",24
0,"no","no",5
0,"no","yes",22
0,"no","yes",23
1,"no","yes",42
1,"no","no",31
0,"no","yes",48
0,"no","no",24
1,"no","no",48
0,"no","no",5
1,"no","no",24
0,"no","yes",44
1,"no","yes",14
1,"no","no",34
0,"no","yes",23
0,"no","yes",50
0,"no","yes",50
1,"no","no",48
0,"no","yes",22
0,"no","no",39
1,"no","no",4
0,"no","no",43
1,"no","yes",3
0,"no","no",35
0,"no","yes",6
1,"no","no",33
0,"no","no",47
0,"no","yes",17
1,"no","no",28
1,"no","no",36
1,"no","no",24
0,"no","yes",40
1,"no","yes",5
1,"no","no",36
0,"no","no",39
0,"no","yes",26
1,"no","yes",36
0,"yes","yes",5
0,"no","yes",18
0,"no","no",21
0,"yes","yes",14
1,"no","no",3
1,"no","no",5
1,"no","no",5
0,"no","yes",14
1,"no","yes",50
1,"no","no",23
0,"no","no",23
0,"no","no",37
1,"no","yes",15
0,"no","no",48
1,"no","yes",7
0,"no","yes",3
1,"no","no",50
1,"no","yes",10
0,"no","yes",24
1,"no","yes",23
0,"no","yes",39
0,"no","yes",48
1,"no","yes",48
1,"no","yes",19
1,"no","no",41
1,"no","no",15
0,"no","yes",5
1,"no","yes",17
1,"no","no",14
1,"no","no",34
1,"no","yes",10
0,"no","no",44
0,"no","no",14
0,"no","yes",49
0,"no","yes",44
0,"no","yes",22
1,"no","yes",22
1,"no","no",34
0,"yes","yes",5
0,"no","yes",47
0,"yes","yes",9
0,"no","yes",39
1,"no","yes",14
1,"no","no",43
1,"no","yes",7
1,"no","no",32
1,"no","yes",36
0,"no","yes",3
1,"no","no",33
1,"no","no",5
0,"no","yes",4
1,"no","no",7
1,"yes","no",34
1,"no","no",5
0,"no","yes",44
1,"no","yes",19
1,"no","no",4
1,"no","yes",10
1,"no","yes",50
1,"no","yes",5
1,"no","yes",14
1,"no","yes",32
0,"no","yes",5
0,"yes","yes",23
1,"no","yes",14
0,"yes","yes",31
1,"no","no",44
1,"yes","yes",48
0,"no","yes",22
1,"no","yes",23
0,"no","no",22
0,"no","yes",36
1,"no","no",21
1,"no","no",5
1,"no","no",39
1,"yes","no",44
0,"no","no",5
1,"yes","yes",14
1,"no","yes",50
0,"no","yes",48
1,"no","no",14
0,"no","yes",3
0,"no","yes",10
0,"no","yes",44
0,"no","no",13
1,"no","no",5
0,"no","yes",39
1,"no","yes",10
0,"no","yes",31
0,"no","yes",3
0,"no","no",47
1,"no","no",43
0,"no","no",27
0,"no","yes",33
1,"no","no",5
1,"yes","yes",10
1,"no","no",10
1,"no","no",36
1,"no","yes",48
1,"no","yes",13
1,"no","no",26
0,"no","yes",11
0,"no","no",15
1,"no","no",5
1,"yes","yes",43
1,"no","no",5
1,"no","yes",36
1,"no","no",44
1,"no","no",40
1,"no","yes",11
0,"no","no",33
1,"no","no",34
1,"no","yes",1
1,"no","yes",24
1,"no","yes",20
0,"no","yes",39
1,"no","no",44
1,"no","yes",34
0,"no","yes",5
1,"no","no",33
1,"no","yes",6
1,"no","yes",42
1,"no","no",10
1,"no","no",36
1,"no","yes",22
0,"no","yes",24
0,"no","yes",43
0,"no","no",33
0,"no","yes",48
1,"no","no",5
1,"no","yes",36
1,"no","yes",48
0,"yes","no",39
1,"no","yes",14
1,"no","yes",15
1,"no","yes",38
0,"no","no",33
0,"no","yes",10
1,"no","no",23
1,"no","yes",5
1,"no","no",20
1,"no","yes",47
1,"no","no",18
0,"no","yes",6
1,"no","no",33
1,"no","no",10
1,"no","yes",15
1,"yes","no",5
1,"no","yes",44
0,"no","no",48
0,"no","yes",48
1,"no","no",47
0,"yes","yes",14
0,"no","yes",48
0,"no","yes",11
1,"no","yes",14
0,"yes","no",21
1,"no","yes",44
0,"no","no",28
1,"no","yes",10
0,"yes","yes",44
0,"no","no",45
0,"no","yes",22
1,"no","yes",44
1,"no","no",23
1,"no","yes",25
0,"no","yes",24
1,"no","no",24
0,"no","no",50
1,"no","yes",39
0,"yes","yes",41
0,"no","yes",19
1,"no","no",18
1,"no","yes",33
1,"no","yes",25
0,"no","no",17
0,"no","yes",48
1,"no","no",47
1,"no","yes",41
0,"no","yes",22
1,"no","yes",11
1,"yes","yes",41
0,"no","yes",17
0,"no","yes",31
1,"no","yes",34
1,"no","no",5
1,"no","no",1
1,"no","yes",33
0,"no","yes",15
0,"no","yes",5
1,"no","no",15
1,"no","yes",19
1,"no","yes",40
1,"no","yes",26
1,"no","yes",36
0,"no","yes",11
0,"no","yes",18
1,"no","yes",10
0,"yes","yes",26
0,"no","yes",43
0,"no","yes",33
1,"no","no",32
1,"no","yes",33
1,"no","yes",48
0,"no","no",6
1,"no","yes",36
1,"no","yes",4
1,"no","yes",41
1,"no","no",23
1,"no","yes",22
1,"no","no",24
0,"no","no",24
1,"no","yes",28
1,"no","yes",36
0,"no","yes",34
1,"no","no",21
0,"no","no",39
1,"no","no",31
0,"no","yes",44
1,"no","yes",11
1,"no","yes",5
0,"no","no",43
0,"no","yes",10
1,"no","no",24
1,"no","no",38
1,"no","yes",33
1,"no","no",27
1,"no","yes",23
1,"no","yes",43
0,"no","yes",38
0,"no","yes",7
1,"no","yes",10
1,"no","no",23
0,"no","yes",18
1,"no","no",36
0,"no","yes",31
0,"no","yes",48
1,"no","yes",10
0,"no","yes",33
0,"no","yes",23
1,"no","no",11
1,"no","yes",22
0,"no","yes",36
0,"no","yes",41
0,"yes","no",44
1,"no","no",17
0,"no","no",10
1,"no","yes",44
1,"no","yes",44
1,"no","yes",38
0,"no","yes",5
0,"no","yes",5
1,"no","yes",24
0,"no","yes",44
1,"yes","yes",8
1,"no","yes",43
1,"no","no",26
1,"no","no",16
1,"no","yes",50
0,"no","no",39
1,"no","no",48
1,"no","yes",39
1,"no","no",24
1,"no","yes",5
1,"no","no",41
0,"no","yes",44
1,"no","yes",34
0,"no","no",44
0,"no","yes",36
1,"yes","yes",33
0,"no","yes",33
0,"no","no",39
0,"no","yes",50
1,"no","yes",41
1,"no","yes",14
0,"no","yes",36
0,"no","yes",21
1,"no","yes",48
0,"no","yes",43
0,"no","no",26
0,"no","yes",14
1,"no","yes",39
1,"no","no",5
0,"no","no",39
1,"no","yes",5
0,"no","no",5
1,"no","no",19
1,"no","no",3
1,"no","no",5
1,"no","yes",44
1,"no","no",50
1,"no","yes",34
1,"no","no",5
0,"no","yes",23
0,"no","no",31
1,"no","yes",44
1,"no","no",34
1,"no","no",48
0,"no","no",34
0,"no","no",24
1,"no","yes",35
1,"no","yes",14
1,"no","yes",1
1,"no","yes",30
1,"no","no",32
0,"no","yes",36
0,"no","yes",21
1,"no","yes",44
0,"no","no",24
1,"no","yes",11
1,"no","yes",19
0,"no","no",39
1,"no","yes",40
1,"no","yes",50
0,"yes","no",21
1,"no","yes",6
1,"no","no",36
1,"no","yes",36
0,"no","yes",23
1,"no","no",50
1,"no","yes",44
1,"no","no",11
1,"no","yes",18
1,"no","yes",14
0,"no","yes",10
1,"no","no",44
1,"no","no",14
0,"yes","yes",14
1,"no","yes",43
0,"no","no",41
1,"no","yes",5
0,"no","no",36
0,"no","yes",6
1,"no","yes",1
0,"no","yes",11
0,"no","no",34
1,"no","yes",14
1,"no","yes",36
1,"no","yes",42
1,"no","yes",44
0,"no","yes",31
1,"yes","yes",44
0,"yes","yes",23
1,"no","no",45
1,"yes","no",1
1,"no","yes",31
1,"no","yes",28
1,"no","yes",36
0,"no","no",13
0,"yes","yes",21
1,"no","yes",14
1,"no","no",50
0,"no","yes",38
0,"no","yes",5
1,"no","no",36
0,"yes","yes",36
1,"no","yes",29
0,"no","yes",32
1,"no","no",39
0,"no","yes",32
0,"no","no",39
0,"no","yes",22
1,"no","yes",6
1,"no","yes",18
1,"no","yes",14
1,"no","no",6
1,"yes","no",34
1,"no","yes",41
0,"no","yes",44
1,"no","no",47
1,"no","yes",50
0,"no","yes",1
0,"no","no",37
1,"no","yes",10
1,"no","yes",33
0,"yes","no",5
1,"yes","yes",43
1,"no","no",26
0,"no","yes",48
1,"no","yes",44
0,"no","no",22
0,"no","no",41
0,"no","no",39
0,"no","no",10
0,"no","yes",32
1,"no","no",44
0,"no","yes",43
0,"no","yes",50
1,"no","yes",11
1,"no","yes",33
1,"no","no",15
0,"no","no",23
1,"no","yes",5
0,"no","yes",6
0,"no","no",36
1,"no","yes",48
1,"no","yes",25
0,"yes","yes",5
1,"no","no",14
0,"no","no",33
0,"no","yes",33
0,"no","yes",47
0,"yes","yes",47
1,"no","no",6
1,"no","no",26
0,"no","yes",14
1,"no","no",14
0,"no","yes",7
1,"no","yes",4
0,"no","yes",21
1,"no","yes",44
1,"no","yes",24
1,"no","yes",19
1,"no","no",44
1,"no","yes",21
1,"no","no",5
0,"no","yes",16
0,"no","no",21
1,"no","no",23
1,"no","yes",11
0,"yes","no",7
0,"no","no",44
1,"no","yes",15
0,"no","no",22
1,"no","no",1
1,"no","yes",43
1,"no","yes",5
0,"no","yes",43
0,"no","no",5
0,"no","no",36
1,"no","no",36
0,"no","yes",6
0,"no","no",33
1,"no","no",1
1,"no","yes",44
0,"no","no",22
1,"no","yes",18
1,"no","no",14
0,"no","yes",14
0,"no","no",33
1,"no","yes",5
1,"no","yes",1
0,"no","no",39
1,"no","yes",47
1,"no","no",5
0,"no","yes",35
0,"no","yes",44
0,"no","no",5
1,"no","yes",10
0,"no","yes",38
1,"no","yes",48
1,"yes","yes",25
1,"no","no",6
0,"no","yes",31
1,"no","no",14
1,"no","yes",26
0,"no","no",44
1,"no","no",5
1,"no","no",14
1,"no","yes",41
0,"yes","yes",33
1,"no","no",24
1,"no","yes",5
1,"no","no",15
1,"no","no",44
1,"no","yes",48
1,"no","yes",15
1,"no","yes",28
1,"no","yes",47
0,"no","yes",16
1,"no","yes",19
1,"no","yes",43
1,"no","yes",14
0,"no","yes",5
1,"no","yes",22
0,"no","yes",21
1,"no","yes",37
0,"no","no",33
1,"no","yes",31
1,"no","yes",44
1,"no","no",31
0,"no","no",6
1,"no","yes",4
1,"no","no",6
0,"no","no",48
1,"no","no",23
0,"no","no",14
1,"no","yes",21
0,"no","no",33
1,"no","yes",44
0,"no","no",5
0,"no","yes",48
1,"no","yes",43
1,"no","yes",44
1,"no","yes",25
1,"no","yes",36
0,"no","yes",33
1,"no","yes",22
0,"yes","yes",33
1,"no","no",11
1,"no","yes",31
0,"no","no",47
0,"no","yes",31
1,"no","no",5
0,"no","yes",44
1,"no","yes",43
1,"no","no",32
0,"no","yes",26
1,"no","no",8
1,"no","yes",36
0,"no","yes",23
0,"no","yes",10
1,"no","no",48
1,"no","yes",31
1,"no","no",5
1,"no","yes",39
0,"no","no",5
1,"no","yes",14
1,"no","no",5
0,"no","yes",34
0,"no","no",5
0,"no","yes",18
0,"no","yes",24
1,"no","yes",25
1,"no","no",10
0,"yes","no",33
1,"no","yes",22
0,"no","yes",7
1,"no","yes",36
0,"no","yes",10
0,"no","no",5
1,"no","yes",25
1,"no","yes",10
1,"no","yes",48
1,"no","yes",39
1,"no","no",14
1,"no","yes",25
0,"yes","yes",25
1,"no","yes",47
1,"yes","no",34
1,"no","yes",28
0,"no","yes",36
1,"no","yes",47
0,"no","no",31
1,"no","yes",17
0,"no","no",13
0,"yes","yes",33
0,"no","no",28
1,"no","yes",44
0,"no","no",50
1,"no","yes",10
0,"no","yes",10
1,"no","yes",15
1,"no","no",49
1,"no","yes",16
0,"no","no",3
1,"no","no",34
1,"no","yes",34
1,"no","yes",31
1,"no","yes",5
1,"no","no",3
0,"yes","no",44
0,"no","no",33
1,"no","yes",31
0,"no","no",11
0,"no","yes",10
1,"no","yes",24
1,"no","no",44
0,"no","yes",5
1,"no","yes",5
0,"no","yes",1
1,"no","yes",23
0,"no","yes",5
0,"no","no",43
0,"no","yes",40
0,"no","yes",5
1,"no","no",5
1,"yes","yes",34
1,"no","yes",47
1,"no","yes",8
1,"no","yes",34
1,"no","yes",33
1,"no","yes",33
0,"no","no",11
1,"no","no",50
0,"no","no",11
1,"no","no",33
0,"no","yes",44
1,"no","no",10
1,"no","no",43
0,"no","yes",33
0,"no","yes",8
1,"no","no",40
1,"no","no",39
1,"no","no",43
0,"no","no",33
0,"yes","no",5
0,"no","yes",39
0,"yes","no",7
1,"no","no",36
1,"no","no",26
1,"no","no",50
1,"no","yes",16
0,"no","yes",48
1,"no","yes",39
0,"no","yes",33
0,"no","no",23
0,"no","no",14
1,"no","yes",33
1,"no","yes",7
1,"no","yes",36
0,"no","no",31
1,"no","yes",5
1,"no","no",44
0,"no","no",14
0,"no","yes",17
1,"no","yes",5
1,"no","no",5
1,"no","yes",24
1,"yes","yes",19
1,"no","no",19
1,"no","yes",39
1,"no","no",41
1,"no","yes",47
0,"no","yes",46
0,"yes","yes",11
1,"no","yes",24
0,"no","yes",11
1,"no","yes",24
1,"no","no",28
0,"no","no",5
1,"no","no",31
1,"no","yes",23
1,"yes","yes",5
0,"no","no",14
0,"no","yes",10
0,"no","yes",21
0,"yes","no",5
1,"no","yes",18
0,"yes","no",41
1,"no","no",37
1,"no","no",43
1,"no","no",44
